lastname|name|patronymic|date_of_birth|id
Фамилия1|Имя1|Отчество1 |21.11.1998   |312040348-3048
Фамилия2|Имя2|Отчество2 |11.01.1972   |457865234-3431
Фамилия3|Имя3|Отчество3 |01.02.1995   |457865234-3431
Фамилия4|Имя4|Отчество4 |16.01.1973   |457865234-3432
Фамилия5|Имя5|Отчество5 |26.11.1988   |457865234-3433
Фамилия6|Имя6|Отчество6 |11.08.1956   |457865234-3434
Фамилия7|Имя7|Отчество7 |25.12.1999   |457865234-3435
Фамилия8|Имя8|Отчество8 |01.11.1999   |457865234-3436
Фамилия9|Имя9|Отчество9 |09.05.1992   |457865234-3436
Фамилия10|Имя10|Отчество10 |06.06.1993   |457865234-3436
